Country,Cluster,metric,Chi,Lee,Yeh,Ensemble
Angola,all,accuracy,0.31773,0.47669,0.39024,0.67041
Angola,all,correlation,0.44035,0.78101,0.58224,
Angola,all,f1,0.33577,0.46746,0.41303,0.66443
Angola,all,precision,0.40068,0.48981,0.46579,0.67794
Angola,all,recall,0.31773,0.47669,0.39024,0.67041
Angola,rural,accuracy,0.27636,0.33371,0.31661,0.4393
Angola,rural,correlation,0.35375,0.56423,0.3849,
Angola,rural,f1,0.30003,0.34378,0.32876,0.43244
Angola,rural,precision,0.38312,0.39564,0.37983,0.45901
Angola,rural,recall,0.27636,0.33371,0.31661,0.4393
Angola,urban,accuracy,0.65873,0.8784,0.86,0.96491
Angola,urban,correlation,0.59112,0.66873,0.79947,
Angola,urban,f1,0.75121,0.82993,0.90044,0.96279
Angola,urban,precision,0.88844,0.80295,0.9625,0.96714
Angola,urban,recall,0.65873,0.8784,0.86,0.96491
Benin,all,accuracy,0.25498,0.30003,0.36458,0.45797
Benin,all,correlation,0.26533,0.40523,0.63465,
Benin,all,f1,0.24421,0.28642,0.37407,0.49519
Benin,all,precision,0.24808,0.28231,0.39,0.55908
Benin,all,recall,0.25498,0.30003,0.36458,0.45797
Benin,rural,accuracy,0.22071,0.24254,0.33036,0.35621
Benin,rural,correlation,0.14378,0.23947,0.58787,
Benin,rural,f1,0.219,0.23646,0.33792,0.3704
Benin,rural,precision,0.22731,0.23523,0.35675,0.39703
Benin,rural,recall,0.22071,0.24254,0.33036,0.35621
Benin,urban,accuracy,0.48643,0.51387,0.60417,0.63556
Benin,urban,correlation,0.49491,0.60856,0.78322,
Benin,urban,f1,0.39698,0.45216,0.57384,0.72949
Benin,urban,precision,0.38267,0.4741,0.55613,0.87481
Benin,urban,recall,0.48643,0.51387,0.60417,0.63556
Burkina Faso,all,accuracy,0.23675,0.35242,0.29412,0.46981
Burkina Faso,all,correlation,0.12441,0.40395,0.38275,
Burkina Faso,all,f1,0.25685,0.33947,0.35338,0.51392
Burkina Faso,all,precision,0.28503,0.34147,0.46844,0.57886
Burkina Faso,all,recall,0.23675,0.35242,0.29412,0.46981
Burkina Faso,rural,accuracy,0.21692,0.29975,0.24688,0.33475
Burkina Faso,rural,correlation,0.05829,0.26549,0.25092,
Burkina Faso,rural,f1,0.23666,0.29251,0.2996,0.36922
Burkina Faso,rural,precision,0.26512,0.29953,0.41966,0.42874
Burkina Faso,rural,recall,0.21692,0.29975,0.24688,0.33475
Burkina Faso,urban,accuracy,0.56347,0.74359,0.7561,0.81985
Burkina Faso,urban,correlation,0.50015,0.55226,0.84965,
Burkina Faso,urban,f1,0.58384,0.6647,0.79704,0.87992
Burkina Faso,urban,precision,0.6065,0.62608,0.84553,0.95245
Burkina Faso,urban,recall,0.56347,0.74359,0.7561,0.81985
Cameroon,all,accuracy,0.27196,0.45812,0.2514,0.61864
Cameroon,all,correlation,0.22021,0.78423,0.42582,
Cameroon,all,f1,0.27178,0.42947,0.29511,0.66147
Cameroon,all,precision,0.27494,0.42744,0.40334,0.72696
Cameroon,all,recall,0.27196,0.45812,0.2514,0.61864
Cameroon,rural,accuracy,0.2589,0.39872,0.17476,0.47236
Cameroon,rural,correlation,0.22557,0.71899,0.24255,
Cameroon,rural,f1,0.25508,0.38202,0.2031,0.5067
Cameroon,rural,precision,0.2573,0.38795,0.32691,0.56819
Cameroon,rural,recall,0.2589,0.39872,0.17476,0.47236
Cameroon,urban,accuracy,0.35878,0.70297,0.73469,0.80645
Cameroon,urban,correlation,0.04186,0.78176,0.76959,
Cameroon,urban,f1,0.42434,0.60755,0.76543,0.86181
Cameroon,urban,precision,0.54847,0.56111,0.83877,0.93583
Cameroon,urban,recall,0.35878,0.70297,0.73469,0.80645
Cote d'Ivoire,all,accuracy,0.28277,0.32129,0.44726,0.55484
Cote d'Ivoire,all,correlation,0.27999,0.4789,0.70993,
Cote d'Ivoire,all,f1,0.28104,0.30674,0.47542,0.59943
Cote d'Ivoire,all,precision,0.28152,0.30915,0.56452,0.67529
Cote d'Ivoire,all,recall,0.28277,0.32129,0.44726,0.55484
Cote d'Ivoire,rural,accuracy,0.24418,0.27086,0.39713,0.41131
Cote d'Ivoire,rural,correlation,0.17493,0.36089,0.63021,
Cote d'Ivoire,rural,f1,0.24489,0.26685,0.41061,0.43978
Cote d'Ivoire,rural,precision,0.24744,0.27639,0.51874,0.5045
Cote d'Ivoire,rural,recall,0.24418,0.27086,0.39713,0.41131
Cote d'Ivoire,urban,accuracy,0.71831,0.6936,0.82143,0.81744
Cote d'Ivoire,urban,correlation,0.59396,0.43049,0.50137,
Cote d'Ivoire,urban,f1,0.64591,0.58128,0.86444,0.89691
Cote d'Ivoire,urban,precision,0.60278,0.50026,0.91667,0.99348
Cote d'Ivoire,urban,recall,0.71831,0.6936,0.82143,0.81744
Democratic Republic of the Congo,all,accuracy,0.27709,0.29454,0.33071,0.54065
Democratic Republic of the Congo,all,correlation,0.30839,0.45973,0.41162,
Democratic Republic of the Congo,all,f1,0.27971,0.29119,0.37301,0.55564
Democratic Republic of the Congo,all,precision,0.31519,0.32981,0.43167,0.57791
Democratic Republic of the Congo,all,recall,0.27709,0.29454,0.33071,0.54065
Democratic Republic of the Congo,rural,accuracy,0.23352,0.2482,0.28313,0.34596
Democratic Republic of the Congo,rural,correlation,0.16096,0.33675,0.24343,
Democratic Republic of the Congo,rural,f1,0.25061,0.26385,0.32444,0.3513
Democratic Republic of the Congo,rural,precision,0.29622,0.3156,0.38682,0.36449
Democratic Republic of the Congo,rural,recall,0.23352,0.2482,0.28313,0.34596
Democratic Republic of the Congo,urban,accuracy,0.53386,0.48951,0.65306,0.82698
Democratic Republic of the Congo,urban,correlation,0.72785,0.70626,0.85622,
Democratic Republic of the Congo,urban,f1,0.46479,0.42609,0.6876,0.85857
Democratic Republic of the Congo,urban,precision,0.4498,0.41566,0.73299,0.89775
Democratic Republic of the Congo,urban,recall,0.53386,0.48951,0.65306,0.82698
Ethiopia,all,accuracy,0.24899,0.34301,0.30081,0.46341
Ethiopia,all,correlation,0.25138,0.4259,0.34886,
Ethiopia,all,f1,0.2503,0.33216,0.29761,0.49706
Ethiopia,all,precision,0.26294,0.32755,0.29956,0.55186
Ethiopia,all,recall,0.24899,0.34301,0.30081,0.46341
Ethiopia,rural,accuracy,0.22818,0.27559,0.27465,0.31439
Ethiopia,rural,correlation,0.21386,0.26759,0.25345,
Ethiopia,rural,f1,0.23071,0.27309,0.27203,0.32575
Ethiopia,rural,precision,0.24588,0.27464,0.27828,0.34879
Ethiopia,rural,recall,0.22818,0.27559,0.27465,0.31439
Ethiopia,urban,accuracy,0.37772,0.57471,0.4697,0.71091
Ethiopia,urban,correlation,0.27767,0.70093,0.64973,
Ethiopia,urban,f1,0.36579,0.51771,0.46531,0.79332
Ethiopia,urban,precision,0.36962,0.4906,0.50569,0.91421
Ethiopia,urban,recall,0.37772,0.57471,0.4697,0.71091
Ghana,all,accuracy,0.31788,0.36495,0.36364,0.50666
Ghana,all,correlation,0.41799,0.57729,0.7673,
Ghana,all,f1,0.3217,0.38121,0.40716,0.54419
Ghana,all,precision,0.33444,0.41133,0.50931,0.60074
Ghana,all,recall,0.31788,0.36495,0.36364,0.50666
Ghana,rural,accuracy,0.2412,0.27512,0.28511,0.33713
Ghana,rural,correlation,0.25014,0.43078,0.66466,
Ghana,rural,f1,0.24757,0.29476,0.31037,0.35075
Ghana,rural,precision,0.26447,0.34229,0.42159,0.3739
Ghana,rural,recall,0.2412,0.27512,0.28511,0.33713
Ghana,urban,accuracy,0.70435,0.71346,0.66129,0.74482
Ghana,urban,correlation,0.55555,0.66338,0.75125,
Ghana,urban,f1,0.65254,0.63944,0.72461,0.82997
Ghana,urban,precision,0.61093,0.60206,0.83333,0.94961
Ghana,urban,recall,0.70435,0.71346,0.66129,0.74482
Guinea,all,accuracy,0.26241,0.34705,0.3615,0.53435
Guinea,all,correlation,0.27138,0.54181,0.54426,
Guinea,all,f1,0.25598,0.3291,0.39181,0.56566
Guinea,all,precision,0.25389,0.32601,0.45761,0.61054
Guinea,all,recall,0.26241,0.34705,0.3615,0.53435
Guinea,rural,accuracy,0.23585,0.29529,0.30052,0.39831
Guinea,rural,correlation,0.18794,0.41732,0.39566,
Guinea,rural,f1,0.23233,0.28541,0.31911,0.42258
Guinea,rural,precision,0.23296,0.28965,0.40021,0.46396
Guinea,rural,recall,0.23585,0.29529,0.30052,0.39831
Guinea,urban,accuracy,0.72449,0.80597,0.95,0.88525
Guinea,urban,correlation,0.64891,0.80564,0.83308,
Guinea,urban,f1,0.69676,0.73394,0.92564,0.92751
Guinea,urban,precision,0.67863,0.67372,0.9025,0.97952
