Country,Cluster,metric,Ensemble,CL,CY,LY
Angola,all,accuracy,0.67041,0.74907,0.68509,0.84302
Angola,all,f1,0.66443,0.73848,0.69406,0.84145
Angola,all,precision,0.67794,0.75114,0.72501,0.84074
Angola,all,recall,0.67041,0.74907,0.68509,0.84302
Angola,rural,accuracy,0.4393,0.45902,0.42105,0.51869
Angola,rural,f1,0.43244,0.42679,0.4529,0.51025
Angola,rural,precision,0.45901,0.44374,0.52648,0.50471
Angola,rural,recall,0.4393,0.45902,0.42105,0.51869
Angola,urban,accuracy,0.96491,0.9898,0.96306,0.98945
Angola,urban,f1,0.96279,0.99487,0.95251,0.992
Angola,urban,precision,0.96714,1.0,0.96689,0.99471
Angola,urban,recall,0.96491,0.9898,0.96306,0.98945
Benin,all,accuracy,0.45797,0.50602,0.53998,0.64787
Benin,all,f1,0.49519,0.56739,0.58237,0.67808
Benin,all,precision,0.55908,0.6776,0.64506,0.71759
Benin,all,recall,0.45797,0.50602,0.53998,0.64787
Benin,rural,accuracy,0.35621,0.36349,0.38611,0.47826
Benin,rural,f1,0.3704,0.38647,0.4091,0.48637
Benin,rural,precision,0.39703,0.4358,0.4476,0.49584
Benin,rural,recall,0.35621,0.36349,0.38611,0.47826
Benin,urban,accuracy,0.63556,0.66245,0.74401,0.77105
Benin,urban,f1,0.72949,0.78504,0.8184,0.82599
Benin,urban,precision,0.87481,0.96972,0.91706,0.89719
Benin,urban,recall,0.63556,0.66245,0.74401,0.77105
Burkina Faso,all,accuracy,0.46981,0.44968,0.61268,0.70815
Burkina Faso,all,f1,0.51392,0.50678,0.64027,0.74584
Burkina Faso,all,precision,0.57886,0.60616,0.67282,0.79333
Burkina Faso,all,recall,0.46981,0.44968,0.61268,0.70815
Burkina Faso,rural,accuracy,0.33475,0.2836,0.41961,0.48113
Burkina Faso,rural,f1,0.36922,0.31944,0.44598,0.52155
Burkina Faso,rural,precision,0.42874,0.41061,0.47986,0.58664
Burkina Faso,rural,recall,0.33475,0.2836,0.41961,0.48113
Burkina Faso,urban,accuracy,0.81985,0.79387,0.91067,0.89764
Burkina Faso,urban,f1,0.87992,0.87404,0.93657,0.94252
Burkina Faso,urban,precision,0.95245,0.9759,0.96407,0.99213
Burkina Faso,urban,recall,0.81985,0.79387,0.91067,0.89764
Cameroon,all,accuracy,0.61864,0.52698,0.68667,0.8559
Cameroon,all,f1,0.66147,0.59402,0.68689,0.88457
Cameroon,all,precision,0.72696,0.72878,0.69783,0.91935
Cameroon,all,recall,0.61864,0.52698,0.68667,0.8559
Cameroon,rural,accuracy,0.47236,0.4517,0.5,0.65789
Cameroon,rural,f1,0.5067,0.50201,0.50561,0.68836
Cameroon,rural,precision,0.56819,0.62397,0.53042,0.72595
Cameroon,rural,recall,0.47236,0.4517,0.5,0.65789
Cameroon,urban,accuracy,0.80645,0.69364,0.88889,0.92151
Cameroon,urban,f1,0.86181,0.81125,0.88239,0.95647
Cameroon,urban,precision,0.93583,0.97688,0.87742,0.99419
Cameroon,urban,recall,0.80645,0.69364,0.88889,0.92151
Cote d'Ivoire,all,accuracy,0.55484,0.45154,0.80389,0.88824
Cote d'Ivoire,all,f1,0.59943,0.51076,0.80753,0.88821
Cote d'Ivoire,all,precision,0.67529,0.63954,0.82045,0.90119
Cote d'Ivoire,all,recall,0.55484,0.45154,0.80389,0.88824
Cote d'Ivoire,rural,accuracy,0.41131,0.3318,0.61885,0.75926
Cote d'Ivoire,rural,f1,0.43978,0.36502,0.60592,0.73767
Cote d'Ivoire,rural,precision,0.5045,0.47684,0.6183,0.79145
Cote d'Ivoire,rural,recall,0.41131,0.3318,0.61885,0.75926
Cote d'Ivoire,urban,accuracy,0.81744,0.72632,0.9441,0.94828
Cote d'Ivoire,urban,f1,0.89691,0.84022,0.96823,0.97345
Cote d'Ivoire,urban,precision,0.99348,0.99649,0.99363,1.0
Cote d'Ivoire,urban,recall,0.81744,0.72632,0.9441,0.94828
Democratic Republic of the Congo,all,accuracy,0.54065,0.50204,0.65738,0.59875
