Country,Cluster,Chi_Yeh,Lee_Chi,Lee_Yeh
Angola,all,35.2,30.299999999999997,49.3
Angola,rural,23.900000000000006,27.0,30.299999999999997
Angola,urban,69.5,64.6,78.2
Benin,all,29.900000000000006,29.700000000000003,33.599999999999994
Benin,rural,24.0,24.099999999999994,24.900000000000006
Benin,urban,57.1,70.5,56.3
Burkina Faso,all,28.5,27.099999999999994,33.8
Burkina Faso,rural,24.700000000000003,24.799999999999997,26.099999999999994
Burkina Faso,urban,71.2,72.9,76.9
Cameroon,all,26.799999999999997,26.299999999999997,37.3
Cameroon,rural,25.5,25.200000000000003,23.700000000000003
Cameroon,urban,33.8,38.8,70.5
Cote d'Ivoire,all,35.3,34.3,33.5
Cote d'Ivoire,rural,27.0,31.299999999999997,23.200000000000003
Cote d'Ivoire,urban,73.2,82.8,64.1
Democratic Republic of the Congo,all,33.900000000000006,25.799999999999997,38.2
Democratic Republic of the Congo,rural,23.299999999999997,23.700000000000003,27.900000000000006
Democratic Republic of the Congo,urban,67.5,49.6,61.3
Ethiopia,all,26.0,24.5,35.7
Ethiopia,rural,24.200000000000003,23.200000000000003,28.700000000000003
Ethiopia,urban,36.6,35.8,57.7
Ghana,all,35.599999999999994,39.2,42.1
Ghana,rural,26.0,32.900000000000006,30.400000000000006
Ghana,urban,68.4,83.0,67.1
Guinea,all,32.099999999999994,27.5,41.0
Guinea,rural,24.700000000000003,24.900000000000006,27.900000000000006
Guinea,urban,83.1,86.3,85.5
Kenya,all,30.599999999999994,34.5,38.3
Kenya,rural,26.200000000000003,29.400000000000006,29.400000000000006
Kenya,urban,35.3,44.1,44.2
Malawi,all,30.799999999999997,24.400000000000006,29.400000000000006
Malawi,rural,27.599999999999994,21.799999999999997,24.5
Malawi,urban,41.9,30.5,37.6
Mali,all,24.599999999999994,21.599999999999994,39.4
Mali,rural,23.0,20.900000000000006,29.5
Mali,urban,44.7,40.0,89.7
Mozambique,all,26.900000000000006,24.099999999999994,46.3
Mozambique,rural,22.900000000000006,22.700000000000003,30.5
Mozambique,urban,52.8,45.1,82.4
Nigeria,all,32.2,33.7,39.4
Nigeria,rural,23.900000000000006,27.700000000000003,26.400000000000006
Nigeria,urban,51.8,63.4,54.3
Rwanda,all,25.400000000000006,30.299999999999997,26.799999999999997
Rwanda,rural,22.5,25.200000000000003,24.200000000000003
Rwanda,urban,27.5,33.0,28.0
Senegal,all,33.7,29.299999999999997,34.900000000000006
Senegal,rural,27.700000000000003,25.799999999999997,25.799999999999997
Senegal,urban,80.5,80.3,78.5
Sierra Leone,all,29.900000000000006,28.900000000000006,33.8
Sierra Leone,rural,25.900000000000006,26.200000000000003,28.299999999999997
Sierra Leone,urban,70.3,82.2,74.0
Tanzania,all,28.200000000000003,30.599999999999994,38.6
Tanzania,rural,23.0,26.400000000000006,27.599999999999994
Tanzania,urban,52.1,60.3,61.4
Togo,all,31.599999999999994,33.900000000000006,40.4
Togo,rural,25.200000000000003,28.299999999999997,28.599999999999994
Togo,urban,67.2,79.4,70.3
Uganda,all,27.900000000000006,24.799999999999997,36.1
Uganda,rural,25.299999999999997,23.099999999999994,27.900000000000006
Uganda,urban,32.400000000000006,28.700000000000003,44.4
Zambia,all,37.7,31.099999999999994,53.6
Zambia,rural,31.099999999999994,27.5,38.2
Zambia,urban,80.2,81.5,83.9
Zimbabwe,all,26.599999999999994,25.799999999999997,44.7
Zimbabwe,rural,23.599999999999994,24.700000000000003,31.099999999999994
Zimbabwe,urban,58.2,54.4,93.1
