Country,Models,Cluster,correlation,disagree (0),agree,poorest (1),poorer (2),average (3),richer (4),richest (5),N
Angola,Chi_Yeh,rural,0.15263,76.1,23.90000000000001,1.2,5.6,5.9,3.7,7.5,2872
Angola,Chi_Yeh,urban,0.6799,30.5,69.5,0.0,0.0,0.3,3.3,65.9,695
Angola,Chi_Yeh,all,0.40964,64.8,35.2,1.0,4.3,4.6,3.5,21.9,3759
Benin,Chi_Yeh,rural,0.39494,76.0,24.0,3.7,4.4,3.5,3.7,8.6,5177
Benin,Chi_Yeh,urban,0.7319,42.9,57.1,0.0,0.3,0.9,2.9,53.0,1037
Benin,Chi_Yeh,all,0.53582,70.1,29.90000000000001,3.1,3.7,3.1,3.6,16.5,6304
Burkina Faso,Chi_Yeh,rural,0.1634,75.3,24.700000000000003,3.5,4.0,4.2,4.7,8.3,7649
Burkina Faso,Chi_Yeh,urban,0.79834,28.8,71.2,0.0,0.3,0.9,1.8,68.2,683
Burkina Faso,Chi_Yeh,all,0.28178,71.5,28.5,3.2,3.7,3.9,4.5,13.2,8361
Cameroon,Chi_Yeh,rural,0.11759,74.5,25.5,3.7,4.2,5.9,6.5,5.2,3012
Cameroon,Chi_Yeh,urban,0.00955,66.2,33.8,0.5,1.7,2.2,3.2,26.3,598
Cameroon,Chi_Yeh,all,0.15019,73.2,26.8,3.1,3.8,5.2,6.0,8.7,3678
Cote d'Ivoire,Chi_Yeh,rural,0.35749,73.0,27.0,2.7,4.6,4.6,5.3,9.7,2638
Cote d'Ivoire,Chi_Yeh,urban,0.70976,26.8,73.2,0.0,0.2,1.0,0.6,71.5,519
Cote d'Ivoire,Chi_Yeh,all,0.55393,64.7,35.3,2.2,3.8,4.0,4.5,20.8,3215
Democratic Republic of the Congo,Chi_Yeh,rural,0.17457,76.7,23.3,2.0,3.8,4.2,4.2,9.1,3070
Democratic Republic of the Congo,Chi_Yeh,urban,0.75723,32.5,67.5,0.0,0.1,1.1,2.1,64.2,967
Democratic Republic of the Congo,Chi_Yeh,all,0.48444,66.1,33.900000000000006,1.5,2.9,3.5,3.7,22.4,4084
Ethiopia,Chi_Yeh,rural,0.15709,75.8,24.200000000000003,2.9,4.9,4.9,4.7,6.8,9534
Ethiopia,Chi_Yeh,urban,0.34218,63.4,36.6,0.3,1.1,2.5,3.3,29.4,1641
Ethiopia,Chi_Yeh,all,0.22401,74.0,26.0,2.5,4.4,4.5,4.5,10.2,11238
Ghana,Chi_Yeh,rural,0.43464,74.0,26.0,4.1,5.6,4.6,5.6,6.0,4564
Ghana,Chi_Yeh,urban,0.73903,31.6,68.4,0.0,0.1,0.6,2.3,65.4,1264
Ghana,Chi_Yeh,all,0.64118,64.4,35.599999999999994,3.3,4.3,3.8,4.8,19.4,5985
Guinea,Chi_Yeh,rural,0.31702,75.3,24.700000000000003,2.2,3.7,4.7,5.3,8.9,2476
Guinea,Chi_Yeh,urban,0.74387,16.9,83.1,0.0,0.0,0.0,1.8,81.2,325
Guinea,Chi_Yeh,all,0.48491,67.9,32.099999999999994,1.9,3.2,4.1,4.8,17.9,2836
Kenya,Chi_Yeh,rural,0.34405,73.8,26.200000000000003,2.7,5.4,4.7,5.4,8.1,9389
Kenya,Chi_Yeh,urban,0.57353,64.7,35.3,0.1,0.3,1.5,5.8,27.6,7557
Kenya,Chi_Yeh,all,0.51038,69.4,30.599999999999994,1.5,3.1,3.3,5.5,17.1,17167
Malawi,Chi_Yeh,rural,0.2845,72.4,27.599999999999994,5.0,5.3,4.7,4.9,7.7,11925
Malawi,Chi_Yeh,urban,0.51377,58.1,41.9,1.3,1.8,3.5,6.9,28.4,3597
Malawi,Chi_Yeh,all,0.38586,69.2,30.8,4.1,4.4,4.4,5.4,12.5,15794
Mali,Chi_Yeh,rural,0.06807,77.0,23.0,2.7,4.5,4.8,5.0,6.0,3339
Mali,Chi_Yeh,urban,0.37794,55.3,44.7,0.4,0.4,0.7,1.1,42.2,282
Mali,Chi_Yeh,all,0.13131,75.4,24.599999999999994,2.5,4.2,4.5,4.6,8.8,3638
Mozambique,Chi_Yeh,rural,0.12816,77.1,22.90000000000001,3.9,4.2,5.2,4.6,5.0,5424
Mozambique,Chi_Yeh,urban,0.64483,47.2,52.8,0.3,0.1,0.6,2.5,49.3,668
Mozambique,Chi_Yeh,all,0.21635,73.1,26.90000000000001,3.4,3.7,4.6,4.4,10.8,6270
Nigeria,Chi_Yeh,rural,0.40162,76.1,23.90000000000001,3.8,5.4,4.1,3.1,7.5,12224
Nigeria,Chi_Yeh,urban,0.65386,48.2,51.8,0.2,0.6,1.2,1.8,48.1,5100
Nigeria,Chi_Yeh,all,0.62162,67.8,32.2,2.7,3.9,3.2,2.8,19.5,17502
Rwanda,Chi_Yeh,rural,0.1126,77.5,22.5,3.9,5.1,4.3,4.2,4.8,2661
Rwanda,Chi_Yeh,urban,0.31832,72.5,27.5,2.4,4.3,3.9,4.8,12.2,4004
Rwanda,Chi_Yeh,all,0.23864,74.6,25.40000000000001,3.0,4.7,4.0,4.5,9.1,6794
Senegal,Chi_Yeh,rural,0.33416,72.3,27.700000000000003,4.0,4.2,4.3,5.2,9.9,4120
Senegal,Chi_Yeh,urban,0.72806,19.5,80.5,0.0,0.2,1.0,2.6,76.7,493
Senegal,Chi_Yeh,all,0.47036,66.3,33.7,3.5,3.7,3.9,5.0,17.6,4719
Sierra Leone,Chi_Yeh,rural,0.23095,74.1,25.90000000000001,3.4,4.3,5.3,5.3,7.7,3725
Sierra Leone,Chi_Yeh,urban,0.68819,29.7,70.3,0.0,0.0,0.4,0.4,69.6,276
