Country,Cluster,No agreement,2 models agree,3 models agree
Angola,urban,4.4,29.0,66.6
Angola,all,22.1,39.8,38.0
Angola,rural,38.8,50.9,10.4
Benin,urban,15.3,33.5,51.2
Benin,rural,42.4,48.5,9.0
Benin,all,34.4,44.2,21.4
Burkina Faso,all,33.6,46.7,19.7
Burkina Faso,urban,7.1,20.7,72.2
Burkina Faso,rural,38.8,51.8,9.4
Cameroon,all,28.9,55.1,16.0
Cameroon,urban,12.8,57.9,29.3
Cameroon,rural,37.5,53.6,8.9
Cote d'Ivoire,urban,4.3,31.9,63.8
Cote d'Ivoire,rural,32.4,58.5,9.1
Cote d'Ivoire,all,25.2,51.3,23.5
Democratic Republic of the Congo,all,29.4,45.6,25.0
Democratic Republic of the Congo,urban,13.1,30.7,56.1
Democratic Republic of the Congo,rural,37.8,53.4,8.8
Ethiopia,all,33.6,50.2,16.3
Ethiopia,urban,19.7,43.9,36.3
Ethiopia,rural,38.4,52.3,9.3
Ghana,urban,3.7,30.8,65.5
Ghana,all,20.2,50.1,29.7
Ghana,rural,29.0,60.7,10.3
Guinea,all,28.7,41.8,29.6
Guinea,urban,1.6,14.5,83.9
Guinea,rural,38.1,51.3,10.7
Kenya,all,28.7,49.7,21.6
Kenya,rural,36.4,53.4,10.2
Kenya,urban,23.7,47.5,28.8
Malawi,urban,31.3,45.6,23.1
Malawi,all,37.2,49.1,13.7
Malawi,rural,40.8,51.3,7.9
Mali,rural,38.5,52.2,9.3
Mali,urban,6.6,45.9,47.4
Mali,all,32.0,50.9,17.0
Mozambique,all,28.2,48.8,23.0
Mozambique,rural,38.4,52.9,8.7
Mozambique,urban,5.4,39.4,55.2
Nigeria,rural,34.7,55.0,10.3
Nigeria,urban,9.7,38.4,51.9
Nigeria,all,22.1,46.9,31.0
Overall,all,30.6,47.9,21.5
Overall,rural,36.8,52.3,10.8
Overall,urban,19.8,40.4,39.9
Rwanda,rural,39.7,54.2,6.1
Rwanda,urban,37.2,49.5,13.3
Rwanda,all,38.0,51.1,10.9
Senegal,rural,37.6,50.5,11.8
Senegal,urban,5.6,18.4,76.0
Senegal,all,31.4,44.4,24.2
Sierra Leone,urban,5.1,24.9,70.0
Sierra Leone,rural,36.7,52.4,10.9
Sierra Leone,all,32.6,48.5,18.9
Tanzania,all,30.5,44.8,24.7
Tanzania,urban,13.2,33.9,52.9
Tanzania,rural,39.6,50.2,10.2
Togo,all,25.7,47.7,26.6
Togo,urban,7.0,25.7,67.3
Togo,rural,33.6,57.1,9.3
Uganda,rural,39.8,51.6,8.5
Uganda,all,35.2,49.8,15.0
Uganda,urban,30.4,48.1,21.5
Zambia,all,19.7,40.1,40.2
Zambia,urban,2.9,19.3,77.7
Zambia,rural,29.8,53.1,17.1
Zimbabwe,rural,39.5,51.2,9.3
Zimbabwe,urban,2.7,43.6,53.7
Zimbabwe,all,30.9,49.4,19.7
