Country,Cluster,Poorest,Poorer,Average,Richer,Richest
Angola,all,0.5,1.0,2.3,0.8,95.3
Angola,rural,3.7,7.4,16.7,3.7,68.5
Angola,urban,0.0,0.0,0.0,0.3,99.7
Benin,all,2.9,3.2,2.3,2.1,89.5
Benin,rural,9.6,10.9,7.7,5.1,66.7
Benin,urban,0.0,0.0,0.0,0.8,99.2
Burkina Faso,all,2.0,2.8,3.1,7.9,84.3
Burkina Faso,rural,4.9,7.1,7.1,19.8,61.0
Burkina Faso,urban,0.0,0.0,0.4,0.0,99.6
Cameroon,all,1.0,1.0,4.6,6.2,87.2
Cameroon,rural,2.8,2.8,12.7,14.1,67.6
Cameroon,urban,0.0,0.0,0.0,0.8,99.2
Cote d'Ivoire,all,3.5,1.0,3.5,3.0,89.1
Cote d'Ivoire,rural,12.3,3.5,12.3,10.5,61.4
Cote d'Ivoire,urban,0.0,0.0,0.0,0.0,100.0
Democratic Republic of the Congo,all,0.8,2.0,2.0,3.3,91.8
Democratic Republic of the Congo,rural,3.6,8.9,7.1,10.7,69.6
Democratic Republic of the Congo,urban,0.0,0.0,0.5,1.1,98.4
Ethiopia,all,1.3,6.4,6.0,7.5,78.8
Ethiopia,rural,3.1,15.1,13.5,15.6,52.6
Ethiopia,urban,0.0,0.0,0.4,1.5,98.1
Ghana,all,2.2,3.3,2.7,5.2,86.6
Ghana,rural,10.1,14.8,12.1,20.8,42.3
Ghana,urban,0.0,0.0,0.0,0.8,99.2
Guinea,all,0.7,4.0,3.0,2.7,89.7
Guinea,rural,2.5,15.0,11.2,10.0,61.2
Guinea,urban,0.0,0.0,0.0,0.0,100.0
Kenya,all,1.2,2.9,3.5,7.5,84.9
Kenya,rural,5.9,14.4,14.4,9.5,55.9
Kenya,urban,0.1,0.2,0.9,7.2,91.6
Malawi,all,5.3,7.3,5.8,8.3,73.3
Malawi,rural,12.4,15.5,10.2,14.1,47.7
Malawi,urban,1.4,2.8,3.4,5.1,87.3
Mali,all,1.2,5.5,6.7,4.9,81.7
Mali,rural,2.8,12.7,15.5,11.3,57.7
Mali,urban,0.0,0.0,0.0,0.0,100.0
Mozambique,all,1.8,3.2,3.2,3.2,88.7
Mozambique,rural,6.8,12.2,12.2,10.8,58.1
Mozambique,urban,0.0,0.0,0.0,0.0,100.0
Nigeria,all,1.6,1.6,1.8,1.9,93.2
Nigeria,rural,9.7,9.7,10.0,6.8,63.9
Nigeria,urban,0.0,0.0,0.1,0.6,99.3
Overall,all,2.5,3.4,3.7,4.9,85.6
Overall,rural,6.9,9.0,10.0,10.7,63.5
Overall,urban,0.5,0.7,0.7,2.1,96.0
Rwanda,all,9.4,10.3,6.5,9.1,64.7
Rwanda,rural,21.2,16.3,10.6,16.3,35.6
Rwanda,urban,6.8,9.0,5.6,7.5,71.2
Senegal,all,1.5,2.6,4.9,4.8,86.2
Senegal,rural,3.9,6.5,12.5,12.1,65.1
Senegal,urban,0.0,0.0,0.0,0.0,100.0
Sierra Leone,all,4.9,3.2,7.3,5.1,79.5
Sierra Leone,rural,8.8,6.6,14.9,9.9,59.7
Sierra Leone,urban,0.0,0.0,0.0,0.0,100.0
Tanzania,all,1.0,2.3,3.6,4.5,88.6
Tanzania,rural,3.8,8.3,12.7,15.3,59.9
Tanzania,urban,0.0,0.1,0.1,0.5,99.3
Togo,all,2.6,1.7,3.6,3.6,88.4
Togo,rural,10.8,5.4,14.9,14.9,54.1
Togo,urban,0.0,0.0,0.0,0.0,100.0
Uganda,all,6.9,4.6,5.6,7.7,75.1
Uganda,rural,22.2,9.6,13.3,15.6,39.3
Uganda,urban,0.9,2.6,2.6,4.7,89.1
Zambia,all,0.8,1.4,2.6,1.8,93.4
Zambia,rural,3.1,5.3,9.9,6.9,74.8
Zambia,urban,0.0,0.0,0.0,0.0,100.0
Zimbabwe,all,3.6,3.2,2.1,6.0,85.1
Zimbabwe,rural,9.9,8.9,5.9,16.8,58.4
Zimbabwe,urban,0.0,0.0,0.0,0.0,100.0
